title,source,price,ram_gb,memmory_gb,main_cam_mp,front_cam_mp,dual_cam,is_iphone_and_age
მობილური ტელეფონი realme 9 pro+ (rmx3393) 8gb/256gb green,be.ge,898,8.0,256.0,50.0,16.0,1,-1.0
მობილური ტელეფონი realme 9 pro+ (rmx3393) 8gb/128gb black,be.ge,832,8.0,128.0,50.0,16.0,1,-1.0
მობილური ტელეფონი oukitel c31 3gb/16gb blue,be.ge,299,3.0,16.0,13.0,5.0,0,-1.0
მობილური ტელეფონი oukitel c31 3gb/16gb black,be.ge,299,3.0,16.0,13.0,5.0,0,-1.0
მობილური ტელეფონი oukitel wp20 4gb/32gb black/green,be.ge,549,4.0,32.0,20.0,5.0,1,-1.0
მობილური ტელეფონი motorola g32 (xt2235-2) 6gb/128gb nfc satin maroon,be.ge,550,6.0,128.0,50.0,16.0,1,-1.0
მობილური ტელეფონი nokia c21 (ta-1352) 2gb/32gb grey,be.ge,227,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი samsung galaxy a04e (a042fd) 3gb/32gb copper,be.ge,239,3.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი nokia c31 (ta-1497) 4gb/128gb mint,be.ge,352,4.0,128.0,13.0,5.0,1,-1.0
მობილური ტელეფონი realme c33 (rmx3624) 4gb/64gb night sea,be.ge,336,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04e (a042fd) 3gb/32gb black,be.ge,239,3.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04s (a047fd) 4gb/128gb black,be.ge,399,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04 (a045fd) 3gb/32gb white,be.ge,249,3.0,32.0,50.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04 (a045fd) 3gb/32gb copper,be.ge,249,3.0,32.0,50.0,5.0,1,-1.0
მობილური ტელეფონი xiaomi poco m5 (global version) 6gb/128gb black,be.ge,399,6.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი google pixel 7 8gb ram 128gb 5g obsidian,be.ge,1549,8.0,128.0,50.0,10.8,0,-1.0
მობილური ტელეფონი xiaomi poco m5 (global version) 6gb/128gb green,be.ge,399,6.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04 (a045fd) 3gb/32gb black,be.ge,249,3.0,32.0,50.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone se (2022) 64gb red,be.ge,1499,4.0,64.0,12.0,7.0,0,1.0
მობილური ტელეფონი apple iphone 14 plus 128gb starlight,be.ge,2699,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი oukitel wp20 pro 4gb/64gb black,be.ge,649,4.0,64.0,20.0,5.0,1,-1.0
მობილური ტელეფონი realme c35 (rmx3511) 4gb/64gb glowing green,be.ge,384,4.0,64.0,50.0,8.0,1,-1.0
მობილური ტელეფონი oukitel wp21 12gb/256gb black,be.ge,1249,12.0,256.0,64.0,20.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04e (a042fd) 3gb/32gb black,be.ge,314,3.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 128gb midnight,be.ge,2499,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 11 128gb white,be.ge,1699,4.0,128.0,12.0,12.0,1,4.0
მობილური ტელეფონი samsung galaxy a04 (a045fd) 4gb/64gb white,be.ge,289,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი realme c33 (rmx3624) 4gb/128gb night sea,be.ge,339,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი realme c33 (rmx3624) 4gb/128gb aqua blue,be.ge,339,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი xiaomi poco m5 (global version) 4gb/64gb green,be.ge,339,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი realme 9i (global version) 4gb/128gb blue,be.ge,349,4.0,128.0,50.0,16.0,1,-1.0
მობილური ტელეფონი xiaomi redmi 10 (global version) 6gb/128gb grey,be.ge,399,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი realme 9i (global version) 4gb/128gb black,be.ge,349,4.0,128.0,50.0,16.0,1,-1.0
მობილური ტელეფონი google pixel 6a 5g 6gb/128gb charcoal,be.ge,949,6.0,128.0,12.2,8.0,1,-1.0
მობილური ტელეფონი oukitel wp17 8gb/128gb nfc black,be.ge,1199,8.0,128.0,64.0,16.0,1,-1.0
მობილური ტელეფონი oukitel wp8 pro 4gb/64gb black,be.ge,649,4.0,64.0,16.0,8.0,1,-1.0
მობილური ტელეფონი apple iphone 13 128gb pink,be.ge,2150,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი realme c30s (global version) 2gb/32gb blue,be.ge,244,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი realme c30s (global version) 2gb/32gb black,be.ge,244,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი ulefone armor x11 pro 4gb/64gb,be.ge,799,4.0,64.0,16.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 pro 128gb gold,be.ge,3484,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი samsung galaxy a53 5g (sm-a536e/ds) 6gb/128gb black,be.ge,1000,6.0,128.0,64.0,32.0,1,-1.0
მობილური ტელეფონი apple iphone 14 pro 256gb deep purple,be.ge,3848,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro 256gb space black,be.ge,3848,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro 256gb gold,be.ge,3848,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro 128gb space black,be.ge,3484,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone se (2022) 128gb midnight,be.ge,1669,4.0,128.0,12.0,7.0,0,1.0
მობილური ტელეფონი apple iphone se (2022) 128gb red,be.ge,1669,4.0,128.0,12.0,7.0,0,1.0
მობილური ტელეფონი apple iphone se (2022) 64gb starlight,be.ge,1499,4.0,64.0,12.0,7.0,0,1.0
მობილური ტელეფონი apple iphone se (2022) 128gb starlight,be.ge,1669,4.0,128.0,12.0,7.0,0,1.0
მობილური ტელეფონი apple iphone 13 256gb blue,be.ge,2670,4.0,256.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 13 128gb blue,be.ge,2150,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 13 128gb starlight,be.ge,2069,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 11 64gb black,be.ge,1500,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 128gb black,be.ge,1699,4.0,128.0,12.0,12.0,1,4.0
მობილური ტელეფონი ulefone armor x5 pro 4gb/64gb,be.ge,649,4.0,64.0,13.0,5.0,1,-1.0
მობილური ტელეფონი cat s53 6gb/128gb black,be.ge,1999,6.0,128.0,48.0,16.0,1,-1.0
